STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,TOTAL_PROFIT,USD_per_student,USD_PROFIT_per_student,CAPOUT_RATIO,STUDENT_REV_RANK,STUDENT_PROFIT_RANK,CAPOUT_RATIO_RANK,RANK_SUM
Alabama,1993,727716.0,2827391,331409,1729295,766687,2833433,1564558,794146,237222.0,204207,-6042,3885.2945379791017,-8.302689510743201,0.07292760736722148,47.0,24.0,18.0,89.0
Alaska,1993,121156.0,1191398,176150,775829,239419,1126398,494917,433788,36291.0,135791,65000,9833.586450526594,536.4983987586253,0.12335810651833642,2.0,1.0,45.0,48.0
Arizona,1993,676297.0,3427976,318465,1415407,1694104,3623946,1578889,1000914,164083.0,680139,-195970,5068.743466258167,-289.769139889723,0.19863727630493352,36.0,44.0,51.0,131.0
Arkansas,1993,311432.0,1346909,128196,771079,447634,1376067,782791,386526,68617.0,97824,-29158,4324.889542500449,-93.62557476431452,0.07323482247532861,45.0,39.0,19.0,103.0
California,1993,5129788.0,28043338,2151157,17064146,8828035,28110986,15281147,8914559,1608514.0,1944760,-67648,5466.763538766125,-13.18728961118861,0.07008401750262531,31.0,25.0,16.0,72.0
Colorado,1993,539538.0,3058326,147793,1242337,1668196,3028305,1537714,954032,92163.0,318959,30021,5668.416311733372,55.64204930885313,0.1098771973096951,30.0,15.0,44.0,89.0
Connecticut,1993,471918.0,4064158,149204,1433539,2481415,4079943,2302852,1190914,143312.0,186802,-15785,8612.000389898245,-33.44860759708254,0.04885142839210435,4.0,31.0,6.0,41.0
Delaware,1993,104355.0,683954,44497,443250,196207,694534,394680,207850,26548.0,47372,-10580,6554.1085717023625,-101.38469646878444,0.0700303052701604,11.0,40.0,15.0,66.0
District of Columbia,1993,80937.0,721151,73882,0,647269,719440,339266,302281,39819.0,38074,1711,8910.028787822628,21.139898933738586,0.052921716890915155,3.0,18.0,8.0,29.0
Florida,1993,1980569.0,11370156,947326,5520893,4901937,11425183,5333136,3557043,852220.0,1424334,-55027,5740.853259846034,-27.783429913322887,0.12755154081323516,26.0,30.0,47.0,103.0
Georgia,1993,893557.0,4716559,296231,2243580,2176748,4647974,2538712,1323320,260423.0,439808,68585,5278.408652162089,76.75503633232127,0.0964012815569817,33.0,13.0,40.0,86.0
Hawaii,1993,177448.0,1062475,76183,962375,23917,1063090,580597,304362,95700.0,82431,-615,5987.52874081421,-3.465804066543438,0.0775390606627849,20.0,23.0,25.0,68.0
Idaho,1993,231632.0,890835,72747,547454,270634,899819,499914,260805,41238.0,81359,-8984,3845.906437797886,-38.78566001243352,0.09210633567149243,49.0,33.0,37.0,119.0
Illinois,1993,1856841.0,10584624,632724,3467071,6484829,10744695,5520683,3352722,426411.0,852085,-160071,5700.339447480964,-86.20608872811404,0.08393354111707749,29.0,38.0,30.0,97.0
Indiana,1993,958052.0,5833420,278090,3005534,2549796,5668599,2862585,1619011,268924.0,477709,164821,6088.834426523821,172.03763470041292,0.09137109334728835,19.0,8.0,35.0,62.0
Iowa,1993,493957.0,2880731,131444,1299055,1450232,2889377,1522556,818922,114390.0,196098,-8646,5831.946910358594,-17.503547879673736,0.07394438691898765,23.0,27.0,20.0,70.0
Kansas,1993,451469.0,2386945,123082,1165178,1098685,2522542,1309958,802965,142268.0,195674,-135597,5287.062899113782,-300.3462031723108,0.07983875080838806,32.0,45.0,27.0,104.0
Kentucky,1993,489281.0,2381148,216900,1529326,634922,2283431,1247496,711873,151526.0,127578,97717,4866.626744140893,199.71550090847592,0.056993316425974314,40.0,7.0,10.0,57.0
Louisiana,1993,795719.0,3438321,397206,1876967,1164148,3427102,1898515,997974,262609.0,173012,11219,4321.024130377684,14.099198335090653,0.05192265561461056,46.0,19.0,7.0,72.0
Maine,1993,211511.0,1368095,77440,652164,638491,1321846,809278,328664,67864.0,55490,46249,6468.197871505501,218.66002241018197,0.04399443112481131,13.0,6.0,5.0,24.0
Maryland,1993,751850.0,4918010,252211,1940713,2725086,4898895,2785206,1508203,224147.0,324925,19115,6541.211677861275,25.423954246192725,0.06709886936056125,12.0,16.0,13.0,41.0
Massachusetts,1993,862495.0,6121612,305113,1924321,3892178,5679261,3237228,1720824,191641.0,59238,442351,7097.562304709013,512.8736978185381,0.011372390995388497,8.0,2.0,1.0,11.0
Michigan,1993,1600650.0,11034174,594226,3326748,7113200,11430958,5411969,3689748,715410.0,932700,-396784,6893.558241964202,-247.88929497391683,0.08676418699575351,9.0,43.0,32.0,84.0
Minnesota,1993,781566.0,4862635,213724,2284106,2364805,5290504,2756415,1327959,466306.0,512196,-427869,6221.656264474145,-547.4508870651998,0.10116700468271393,16.0,50.0,42.0,108.0
Mississippi,1993,329408.0,1170109,174870,612301,382938,1167032,652571,318799,89766.0,87575,3077,3552.1572032251797,9.340999611424131,0.07623762634814153,50.0,20.0,22.0,92.0
Missouri,1993,834636.0,4196601,271548,1939230,1985823,4234845,2229886,1250115,227686.0,399553,-38244,5028.061334521875,-45.82117234339281,0.09728016867774954,37.0,34.0,41.0,112.0
Montana,1993,158875.0,813998,74386,445532,294080,833435,446245,261677,64200.0,49720,-19437,5123.512195121952,-122.34146341463415,0.0604982466216134,35.0,41.0,12.0,88.0
Nebraska,1993,281354.0,1625242,94308,509432,1021502,1642376,972575,424311,57564.0,141118,-17134,5776.50220007535,-60.89837002495077,0.08844373915746619,24.0,36.0,33.0,93.0
Nevada,1993,222846.0,1148268,52876,753277,342115,1265367,611914,360827,41799.0,195478,-117099,5152.74225249724,-525.4705042944455,0.16154966289757672,34.0,49.0,48.0,131.0
New Hampshire,1993,177722.0,1109743,34680,84342,990721,1091814,611158,322618,34802.0,42172,17929,6244.263512677103,100.8822768143505,0.04172347266881029,15.0,11.0,4.0,30.0
